external_id,name,category,subcategory,city,state,country,latitude,longitude,description,tags,avg_cost,avg_rating,crowd_level,popularity_score,is_outdoor,opening_hours,best_season,created_at,updated_at,last_synced
,Kaas Plateau (Valley of Flowers),NATURE / UNESCO,,Satara,Maharashtra,India,17.7254,73.8196,Kaas Plateau is a UNESCO biodiversity site famous for seasonal wildflowers. It blooms during monsoon and attracts photographers and botanists.,"{""flowers"",""unesco"",""monsoon""}",,4.1,MEDIUM,8.2,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Thoseghar Waterfalls,WATERFALL,,Satara,Maharashtra,India,17.5981,73.8482,"Thoseghar Waterfalls are a series of large waterfalls near Satara. Best visited during monsoon, offering scenic viewpoints and misty surroundings.","{""waterfall"",""monsoon"",""nature""}",,4.1,HIGH,8.2,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Lonar Lake,NATURAL WONDER,,Buldhana,Maharashtra,India,19.9758,76.5069,Lonar Lake is a rare meteor-impact crater lake with saline water. It holds geological and scientific importance. Surrounded by temples and forests.,"{""crater"",""lake"",""geology""}",,4.5,MEDIUM,9,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Panhala Hill Station,HILL STATION,,Kolhapur,Maharashtra,India,16.4912,74.712,Panhala is a hill station known for cool climate and scenic plateaus. It also has historical forts and viewpoints. Suitable for family trips.,"{""hill_station"",""heritage""}",,4.4,MEDIUM,8.8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Murud Beach,BEACH,,Raigad,Maharashtra,India,18.3292,72.9544,Murud Beach is a clean sandy beach near Janjira Fort. It is suitable for swimming and relaxation. Less crowded compared to major beaches.,"{""beach"",""relax"",""coastal""}",,4.1,MEDIUM,8.2,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Srivardhan Beach,BEACH,,Raigad,Maharashtra,India,18.0415,73.0106,Srivardhan Beach is known for calm waters and wide shoreline. It is ideal for family outings and sunset views.,"{""beach"",""family""}",,3.7,LOW,7.4,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Dapoli Beach,BEACH / HILL,,Ratnagiri,Maharashtra,India,17.4532,73.118,"Dapoli is a hill-coastal town offering beaches, greenery and pleasant climate. Often called the Mini Mahabaleshwar.","{""beach"",""hills"",""nature""}",,4.3,HIGH,8.6,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Anjarle Beach,BEACH,,Ratnagiri,Maharashtra,India,17.84732,73.0879,"Anjarle Beach is a quiet, clean beach with white sand and clear waters. It is ideal for peaceful coastal tourism.","{""beach"",""quiet"",""coastal""}",,4.1,LOW,8.2,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Devbag Beach,BEACH,,Malvan,Maharashtra,India,15.9689,73.5011,"Devbag Beach is a serene beach near Malvan, famous for water sports and sunsets. It offers dolphin sightings and clear waters.","{""beach"",""water_sports""}",,4.4,HIGH,8.8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Nivati Beach,BEACH,,Sindhudurg,Maharashtra,India,15.9396,73.5185,"Nivati Beach is a lesser-known pristine beach with white sand and blue waters. Ideal for offbeat and eco-friendly travel.
","{""beach"",""offbeat""}",,3.8,HIGH,7.6,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Vengurla Beach,BEACH,,Sindhudurg,Maharashtra,India,15.8514,73.6389,Vengurla Beach is known for coconut groves and calm atmosphere. It is popular among travelers seeking peaceful Konkan beaches.,"{""beach"",""konkan""}",,3.8,MEDIUM,7.6,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Kihim Beach,BEACH,,Alibaug,Maharashtra,India,18.7243,72.8646,Kihim Beach is a popular weekend beach near Mumbai. Known for bird life and clean sand. Ideal for short trips.,"{""beach"",""weekend"",""relax""}",,4.4,MEDIUM,8.8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Mandwa Beach,BEACH,,Raigad,Maharashtra,India,18.8031,72.8787,"Mandwa Beach is easily accessible from Mumbai by ferry. It offers beach resorts, water sports, and scenic views.","{""beach"",""ferry"",""resort""}",,4.1,MEDIUM,8.2,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Aarey Forest & Lake Area,URBAN NATURE,,Mumbai,Maharashtra,India,19.165,72.871,"Aarey Forest is a green zone within Mumbai with lakes, gardens and forest trails. It provides a rare nature escape inside a metro city.","{""forest"",""urban"",""nature""}",,4,LOW,8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Osho International Meditation Resort,HISTORICAL,,Pune,Maharashtra,India,18.680743,73.763088,"Osho International Meditation Resort is a notable historical attraction in Pune, Maharashtra. Popular for spiritual, family-friendly, relaxation.","{""spiritual"",""family-friendly"",""relaxation""}",,4.4,MEDIUM,8.8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Dagadusheth Halwai Ganapati Temple,RELIGIOUS,,Pune,Maharashtra,India,18.441631,73.892666,"Dagadusheth Halwai Ganapati Temple is a notable religious attraction in Pune, Maharashtra. Popular for family-friendly, trekking, photography.","{""family-friendly"",""trekking"",""photography""}",,4.4,HIGH,8.8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Raja Dinkar Kelkar Museum,MUSEUM,,Pune,Maharashtra,India,18.669694,73.737764,"Raja Dinkar Kelkar Museum is a notable museum attraction in Pune, Maharashtra. Popular for spiritual, heritage, photography.","{""spiritual"",""heritage"",""photography""}",,4.3,LOW,8.6,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Parvati Hill,HILL STATION,,Pune,Maharashtra,India,18.692435,73.887963,"Parvati Hill is a notable hill station attraction in Pune, Maharashtra. Popular for water-sports, family-friendly, photography.","{""water-sports"",""family-friendly"",""photography""}",,4,LOW,8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Rajiv Gandhi Zoological Park,HISTORICAL,,Pune,Maharashtra,India,18.400629,73.892409,"Rajiv Gandhi Zoological Park is a notable historical attraction in Pune, Maharashtra. Popular for relaxation, nature, trekking.","{""relaxation"",""nature"",""trekking""}",,3.8,LOW,7.6,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Pataleshwar Cave Temple,HISTORICAL,,Pune,Maharashtra,India,18.45595,73.926779,"Pataleshwar Cave Temple is a notable historical attraction in Pune, Maharashtra. Popular for heritage, relaxation, wildlife.","{""heritage"",""relaxation"",""wildlife""}",,4,LOW,8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Khadakwasla Dam,NATURE,,Pune,Maharashtra,India,18.666327,73.711206,"Khadakwasla Dam is a notable nature attraction in Pune, Maharashtra. Popular for water-sports, photography, relaxation.","{""water-sports"",""photography"",""relaxation""}",,4.3,LOW,8.6,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Pune Okayama Friendship Garden,NATURE,,Pune,Maharashtra,India,18.504207,73.839913,"Pune Okayama Friendship Garden is a notable nature attraction in Pune, Maharashtra. Popular for heritage, relaxation, wildlife.","{""heritage"",""relaxation"",""wildlife""}",,4.5,LOW,9,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Bund Garden,NATURE,,Pune,Maharashtra,India,18.621221,73.905955,"Bund Garden is a notable nature attraction in Pune, Maharashtra. Popular for heritage, adventure, family-friendly.","{""heritage"",""adventure"",""family-friendly""}",,3.8,HIGH,7.6,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Empress Garden,NATURE,,Pune,Maharashtra,India,18.639338,73.974619,"Empress Garden is a notable nature attraction in Pune, Maharashtra. Popular for heritage, nature, water-sports.","{""heritage"",""nature"",""water-sports""}",,4.4,MEDIUM,8.8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Pune University (Savitribai Phule Pune University),HISTORICAL,,Pune,Maharashtra,India,18.512696,73.985902,"Pune University (Savitribai Phule Pune University) is a notable historical attraction in Pune, Maharashtra. Popular for heritage, family-friendly, relaxation.","{""heritage"",""family-friendly"",""relaxation""}",,4.6,MEDIUM,9.2,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Pune Railway Station area,HISTORICAL,,Pune,Maharashtra,India,18.414202,73.72548,"Pune Railway Station area is a notable historical attraction in Pune, Maharashtra. Popular for heritage, adventure, spiritual.","{""heritage"",""adventure"",""spiritual""}",,4.6,HIGH,9.2,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Koregaon Park,HISTORICAL,,Pune,Maharashtra,India,18.509094,73.712702,"Koregaon Park is a notable historical attraction in Pune, Maharashtra. Popular for trekking, family-friendly, photography.","{""trekking"",""family-friendly"",""photography""}",,4,LOW,8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Chaturshringi Temple,RELIGIOUS,,Pune,Maharashtra,India,18.455815,73.987953,"Chaturshringi Temple is a notable religious attraction in Pune, Maharashtra. Popular for heritage, trekking, adventure.","{""heritage"",""trekking"",""adventure""}",,4.6,LOW,9.2,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Shreemant Dagdusheth Halwai Ganapati Temple,RELIGIOUS,,Pune,Maharashtra,India,18.540935,73.771275,"Shreemant Dagdusheth Halwai Ganapati Temple is a notable religious attraction in Pune, Maharashtra. Popular for photography, wildlife, spiritual.","{""photography"",""wildlife"",""spiritual""}",,4,HIGH,8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Lal Mahal,HISTORICAL,,Pune,Maharashtra,India,18.642073,73.703323,"Lal Mahal is a notable historical attraction in Pune, Maharashtra. Popular for photography, family-friendly, heritage.","{""photography"",""family-friendly"",""heritage""}",,3.9,HIGH,7.8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,National War Museum (Pune),MUSEUM,,Pune,Maharashtra,India,18.687723,73.788207,"National War Museum (Pune) is a notable museum attraction in Pune, Maharashtra. Popular for adventure, spiritual, relaxation.","{""adventure"",""spiritual"",""relaxation""}",,4.1,LOW,8.2,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Joshi's Museum of Miniature Railway,MUSEUM,,Pune,Maharashtra,India,18.692487,73.993521,"Joshi's Museum of Miniature Railway is a notable museum attraction in Pune, Maharashtra. Popular for spiritual, water-sports, family-friendly.","{""spiritual"",""water-sports"",""family-friendly""}",,4.4,MEDIUM,8.8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Khadakwasla Lake,NATURE,,Pune,Maharashtra,India,18.494849,73.721555,"Khadakwasla Lake is a notable nature attraction in Pune, Maharashtra. Popular for water-sports, family-friendly, wildlife.","{""water-sports"",""family-friendly"",""wildlife""}",,4,LOW,8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Lavasa (near Pune),HISTORICAL,,Pune,Maharashtra,India,18.664365,73.700846,"Lavasa (near Pune) is a notable historical attraction in Pune, Maharashtra. Popular for heritage, adventure, photography.","{""heritage"",""adventure"",""photography""}",,4.1,HIGH,8.2,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Panshet Dam,NATURE,,Pune,Maharashtra,India,18.521435,73.815671,"Panshet Dam is a notable nature attraction in Pune, Maharashtra. Popular for adventure, relaxation, photography.","{""adventure"",""relaxation"",""photography""}",,4.1,HIGH,8.2,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Mulshi Dam,NATURE,,Pune,Maharashtra,India,18.570858,73.829552,"Mulshi Dam is a notable nature attraction in Pune, Maharashtra. Popular for relaxation, trekking, heritage.","{""relaxation"",""trekking"",""heritage""}",,4.2,HIGH,8.4,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Bhimashankar (nearby),HISTORICAL,,Pune,Maharashtra,India,18.571735,73.954689,"Bhimashankar (nearby) is a notable historical attraction in Pune, Maharashtra. Popular for photography, family-friendly, nature.","{""photography"",""family-friendly"",""nature""}",,3.9,HIGH,7.8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Rajmachi Fort (nearby),FORT,,Pune,Maharashtra,India,18.648759,73.986052,"Rajmachi Fort (nearby) is a notable fort attraction in Pune, Maharashtra. Popular for nature, spiritual, wildlife.","{""nature"",""spiritual"",""wildlife""}",,4.1,MEDIUM,8.2,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Gateway of India,HISTORICAL,,Mumbai,Maharashtra,India,19.145964,72.851849,"Gateway of India is a notable historical attraction in Mumbai, Maharashtra. Popular for relaxation, nature, family-friendly.","{""relaxation"",""nature"",""family-friendly""}",,4.4,LOW,8.8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Marine Drive,HISTORICAL,,Mumbai,Maharashtra,India,19.216033,72.891062,"Marine Drive is a notable historical attraction in Mumbai, Maharashtra. Popular for family-friendly, wildlife, adventure.","{""family-friendly"",""wildlife"",""adventure""}",,4.3,LOW,8.6,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Chhatrapati Shivaji Maharaj Terminus,HISTORICAL,,Mumbai,Maharashtra,India,19.037999,72.800823,"Chhatrapati Shivaji Maharaj Terminus is a notable historical attraction in Mumbai, Maharashtra. Popular for spiritual, family-friendly, trekking.","{""spiritual"",""family-friendly"",""trekking""}",,4.3,LOW,8.6,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Siddhivinayak Temple,RELIGIOUS,,Mumbai,Maharashtra,India,19.101369,72.91721,"Siddhivinayak Temple is a notable religious attraction in Mumbai, Maharashtra. Popular for wildlife, family-friendly, adventure.","{""wildlife"",""family-friendly"",""adventure""}",,4.5,LOW,9,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Haji Ali Dargah,RELIGIOUS,,Mumbai,Maharashtra,India,19.264831,72.842754,"Haji Ali Dargah is a notable religious attraction in Mumbai, Maharashtra. Popular for relaxation, spiritual, water-sports.","{""relaxation"",""spiritual"",""water-sports""}",,4,LOW,8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Juhu Beach,BEACH,,Mumbai,Maharashtra,India,19.282587,72.827654,"Juhu Beach is a notable beach attraction in Mumbai, Maharashtra. Popular for spiritual, heritage, family-friendly.","{""spiritual"",""heritage"",""family-friendly""}",,4.4,MEDIUM,8.8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Bandra-Worli Sea Link,HISTORICAL,,Mumbai,Maharashtra,India,19.271301,72.803327,"Bandra-Worli Sea Link is a notable historical attraction in Mumbai, Maharashtra. Popular for photography, family-friendly, trekking.","{""photography"",""family-friendly"",""trekking""}",,3.8,MEDIUM,7.6,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Colaba Causeway,HISTORICAL,,Mumbai,Maharashtra,India,19.125414,72.908393,"Colaba Causeway is a notable historical attraction in Mumbai, Maharashtra. Popular for heritage, spiritual, nature.","{""heritage"",""spiritual"",""nature""}",,4.1,MEDIUM,8.2,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Chor Bazaar,HISTORICAL,,Mumbai,Maharashtra,India,18.99211,72.845992,"Chor Bazaar is a notable historical attraction in Mumbai, Maharashtra. Popular for trekking, water-sports, relaxation.","{""trekking"",""water-sports"",""relaxation""}",,4.4,LOW,8.8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Taraporewala Aquarium,HISTORICAL,,Mumbai,Maharashtra,India,19.093214,72.768979,"Taraporewala Aquarium is a notable historical attraction in Mumbai, Maharashtra. Popular for heritage, adventure, trekking.","{""heritage"",""adventure"",""trekking""}",,3.9,LOW,7.8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Hanging Gardens,NATURE,,Mumbai,Maharashtra,India,19.095536,72.913189,"Hanging Gardens is a notable nature attraction in Mumbai, Maharashtra. Popular for water-sports, adventure, spiritual.","{""water-sports"",""adventure"",""spiritual""}",,4.2,MEDIUM,8.4,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Global Vipassana Pagoda,HISTORICAL,,Mumbai,Maharashtra,India,18.930845,72.832198,"Global Vipassana Pagoda is a notable historical attraction in Mumbai, Maharashtra. Popular for family-friendly, nature, adventure.","{""family-friendly"",""nature"",""adventure""}",,4,MEDIUM,8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Bollywood Film City (Tours),HISTORICAL,,Mumbai,Maharashtra,India,19.227987,72.849483,"Bollywood Film City (Tours) is a notable historical attraction in Mumbai, Maharashtra. Popular for nature, wildlife, trekking.","{""nature"",""wildlife"",""trekking""}",,4,HIGH,8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Mani Bhavan,HISTORICAL,,Mumbai,Maharashtra,India,18.912235,72.901124,"Mani Bhavan is a notable historical attraction in Mumbai, Maharashtra. Popular for nature, water-sports, wildlife.","{""nature"",""water-sports"",""wildlife""}",,4.1,MEDIUM,8.2,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Essel World (nearby),HISTORICAL,,Mumbai,Maharashtra,India,19.005973,72.805668,"Essel World (nearby) is a notable historical attraction in Mumbai, Maharashtra. Popular for photography, family-friendly, relaxation.","{""photography"",""family-friendly"",""relaxation""}",,3.9,HIGH,7.8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Mount Mary Basilica,HISTORICAL,,Mumbai,Maharashtra,India,18.949787,72.933744,"Mount Mary Basilica is a notable historical attraction in Mumbai, Maharashtra. Popular for photography, trekking, nature.","{""photography"",""trekking"",""nature""}",,4.3,LOW,8.6,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Jehangir Art Gallery,MUSEUM,,Mumbai,Maharashtra,India,19.246932,72.853732,"Jehangir Art Gallery is a notable museum attraction in Mumbai, Maharashtra. Popular for family-friendly, nature, wildlife.","{""family-friendly"",""nature"",""wildlife""}",,4.1,LOW,8.2,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Nehru Science Centre,HISTORICAL,,Mumbai,Maharashtra,India,18.970207,72.861308,"Nehru Science Centre is a notable historical attraction in Mumbai, Maharashtra. Popular for adventure, spiritual, family-friendly.","{""adventure"",""spiritual"",""family-friendly""}",,4.2,LOW,8.4,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Sewri Flamingo Point,HISTORICAL,,Mumbai,Maharashtra,India,19.157208,72.883517,"Sewri Flamingo Point is a notable historical attraction in Mumbai, Maharashtra. Popular for adventure, trekking, heritage.","{""adventure"",""trekking"",""heritage""}",,4,HIGH,8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Banganga Tank,HISTORICAL,,Mumbai,Maharashtra,India,19.270964,72.865963,"Banganga Tank is a notable historical attraction in Mumbai, Maharashtra. Popular for trekking, relaxation, nature.","{""trekking"",""relaxation"",""nature""}",,4.2,HIGH,8.4,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Worli Fort,FORT,,Mumbai,Maharashtra,India,19.126125,72.760538,"Worli Fort is a notable fort attraction in Mumbai, Maharashtra. Popular for heritage, adventure, wildlife.","{""heritage"",""adventure"",""wildlife""}",,4.1,HIGH,8.2,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Anjaneri,HISTORICAL,,Nashik,Maharashtra,India,19.807502,73.803101,"Anjaneri is a notable historical attraction in Nashik, Maharashtra. Popular for family-friendly, relaxation, heritage.","{""family-friendly"",""relaxation"",""heritage""}",,4.2,MEDIUM,8.4,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Ramkund,HISTORICAL,,Nashik,Maharashtra,India,20.093941,73.952533,"Ramkund is a notable historical attraction in Nashik, Maharashtra. Popular for heritage, adventure, photography.","{""heritage"",""adventure"",""photography""}",,3.8,MEDIUM,7.6,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Saptashrungi Devi Temple (nearby),RELIGIOUS,,Nashik,Maharashtra,India,19.911008,73.702721,"Saptashrungi Devi Temple (nearby) is a notable religious attraction in Nashik, Maharashtra. Popular for water-sports, family-friendly, trekking.","{""water-sports"",""family-friendly"",""trekking""}",,4.5,MEDIUM,9,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Coin Museum (Nashik),MUSEUM,,Nashik,Maharashtra,India,20.18691,73.948294,"Coin Museum (Nashik) is a notable museum attraction in Nashik, Maharashtra. Popular for heritage, wildlife, relaxation.","{""heritage"",""wildlife"",""relaxation""}",,4.1,HIGH,8.2,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,SulaFest venue,HISTORICAL,,Nashik,Maharashtra,India,19.938547,73.960229,"SulaFest venue is a notable historical attraction in Nashik, Maharashtra. Popular for nature, adventure, wildlife.","{""nature"",""adventure"",""wildlife""}",,4.4,MEDIUM,8.8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Gangapur Dam,NATURE,,Nashik,Maharashtra,India,20.147799,73.992448,"Gangapur Dam is a notable nature attraction in Nashik, Maharashtra. Popular for water-sports, trekking, adventure.","{""water-sports"",""trekking"",""adventure""}",,3.9,MEDIUM,7.8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Kundalika river activities (nearby),HISTORICAL,,Nashik,Maharashtra,India,19.861002,73.986412,"Kundalika river activities (nearby) is a notable historical attraction in Nashik, Maharashtra. Popular for nature, wildlife, water-sports.","{""nature"",""wildlife"",""water-sports""}",,3.8,MEDIUM,7.6,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Vani (religious site),HISTORICAL,,Nashik,Maharashtra,India,20.180118,73.797082,"Vani (religious site) is a notable historical attraction in Nashik, Maharashtra. Popular for photography, trekking, wildlife.","{""photography"",""trekking"",""wildlife""}",,4.3,LOW,8.6,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Brahmagiri (vishrambaug),HISTORICAL,,Nashik,Maharashtra,India,20.012549,73.810531,"Brahmagiri (vishrambaug) is a notable historical attraction in Nashik, Maharashtra. Popular for trekking, photography, nature.","{""trekking"",""photography"",""nature""}",,4.1,LOW,8.2,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Mahalaxmi Temple (Kolhapur),RELIGIOUS,,Kolhapur,Maharashtra,India,16.808384,74.248417,"Mahalaxmi Temple (Kolhapur) is a notable religious attraction in Kolhapur, Maharashtra. Popular for wildlife, trekking, adventure.","{""wildlife"",""trekking"",""adventure""}",,4.5,LOW,9,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Rankala Lake,NATURE,,Kolhapur,Maharashtra,India,16.77422,74.142494,"Rankala Lake is a notable nature attraction in Kolhapur, Maharashtra. Popular for adventure, spiritual, nature.","{""adventure"",""spiritual"",""nature""}",,4.3,MEDIUM,8.6,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,New Palace (Shahu Museum),MUSEUM,,Kolhapur,Maharashtra,India,16.834309,74.264256,"New Palace (Shahu Museum) is a notable museum attraction in Kolhapur, Maharashtra. Popular for spiritual, trekking, heritage.","{""spiritual"",""trekking"",""heritage""}",,3.8,MEDIUM,7.6,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Jyotiba Temple,RELIGIOUS,,Kolhapur,Maharashtra,India,16.697792,74.159576,"Jyotiba Temple is a notable religious attraction in Kolhapur, Maharashtra. Popular for nature, heritage, photography.","{""nature"",""heritage"",""photography""}",,4.2,MEDIUM,8.4,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Kopeshwar Temple (Khidrapur),RELIGIOUS,,Kolhapur,Maharashtra,India,16.726582,74.263459,"Kopeshwar Temple (Khidrapur) is a notable religious attraction in Kolhapur, Maharashtra. Popular for spiritual, nature, photography.","{""spiritual"",""nature"",""photography""}",,4.1,HIGH,8.2,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
